theme_id,node_id,arc_id,significance,description,created_by,created_at,updated_at,updated_by
1,1.0,,key_reference,Shasta Lake is the primary baseline reference reservoir,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
1,2.0,,key_reference,Lake Oroville is a key baseline reference reservoir,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
2,,3.0,critical_bottleneck,Sacramento River channel is critical for environmental flow management,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
2,4.0,,key_junction,Junction 42 is critical for Delta environmental flow routing,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
3,6.0,,major_input,CVP agricultural demand node is key for groundwater-surface water analysis,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
4,1.0,,critical_bottleneck,Shasta Lake is critical for community water supply reliability,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
4,3.0,,key_junction,Folsom Lake is key junction for urban water supply,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
5,4.0,,key_junction,Junction 42 is the key Delta junction for estuary flows,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
5,,4.0,outcome_point,Sacramento River downstream channel is key outflow measurement point,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
6,4.0,,key_junction,Junction 42 is critical for Delta water use coordination,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
7,1.0,,critical_bottleneck,Shasta Lake is critical bottleneck for export reliability,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
7,,5.0,major_input,Shasta CVP diversion is major input for export system,1,2024-01-01 00:00:00,2024-01-01 00:00:00,1
