id,scenario_id,short_code,is_active,name,subtitle,short_title,simple_description,description,narrative,baseline_scenario_id,source_scenario_id,slr_id,hydroclimate_id,scenario_author_id,scenario_version_id,created_by,updated_by
1,s0011,s0011_adjBL_wTUCP,1,2023 DWR Delivery Capability Report scenario with historically adjusted hydroclimate and TUCPs,,DCR 2023 Baseline,Baseline scenario with TUCPs active,"Baseline scenario based on DWR's 2023 Delivery Capability Report using historically adjusted hydroclimate. TUCP actions are active. The code and input hydrology were taken from DWR's 2023 DCR final version, representing current operating rules including the 2019 Biological Opinion and 2020 SWP Incidental Take Permit. The only difference from s0002 is that TUCP actions are allowed.",,1,,1,2,3,1,2,
2,s0020,s0020_DCRadjBL_2020LU_wTUCP,1,2023 DWR Delivery Capability Report scenario with historically adjusted hydroclimate and updated agricultural land use demands and TUCPs,,DCR 2023 + 2020 LU,Baseline with 2020 LandIQ land use and TUCPs,Baseline scenario based on DWR's 2023 DCR with historically adjusted hydroclimate and 2020 LandIQ agricultural land use. TUCP actions active. Builds on s0011 — the only difference is updated agricultural land use derived from the 2020 LandIQ dataset. Serves as the primary reference for most alternative scenarios.,,2,1,1,2,3,1,2,
3,s0021,s0021_DCRadjBL_2020LU_woTUCP,1,"2023 DWR Delivery Capability Report scenario with historically adjusted hydroclimate and updated agricultural land use demands, without TUCPs",,DCR 2023 + 2020 LU (no TUCP),Baseline with 2020 LandIQ land use without TUCPs,Same as s0020 except TUCP actions are deactivated (simulateTUCP set to 0). Serves as a baseline reference for scenarios without TUCP actions.,,2,2,1,2,3,1,2,
4,s0023,s0023_USBR24Alt2V1_adjBL_2020LU_woTUCP,1,"USBR's 2024 LTO proposed action (Alt2V1) with DWR's adjusted historical hydrology, 2020 LandIQ land use, and 2024 USBR BiOps. No TUCPs.",,USBR 2024 Alt2V1 (no TUCP),USBR 2024 proposed operations without TUCPs,"Operating rules and policies from USBR's 2024 final LTO scenario Alt2V1, reflecting USBR's proposed action from the December 2024 LTO consultation. Original USBR hydrology replaced with DWR's historically adjusted dataset and 2020 LandIQ land use applied. TUCP actions not active. Includes modified Shasta storage and CVP allocation rules benefiting winter-run chinook salmon.",,2,,1,2,3,1,2,
5,s0024,s0024_USBR24Alt2V1_adjHist_2020LU_wTUCP,1,"USBR's 2024 LTO proposed action (Alt2V1) with DWR's adjusted historical hydrology, 2020 LandIQ land use, 2024 USBR BiOps, and TUCPs active.",,USBR 2024 Alt2V1 (with TUCP),USBR 2024 proposed operations with TUCPs,Same as s0023 with TUCP actions activated. Copied from s0023 with TUCP trigger conditions uncommented in TUCP_Actions.wresl. TUCP actions can be triggered in February through May when Sacramento Valley index and Shasta storage fall below thresholds.,,2,4,1,2,3,1,2,
6,s0025,s0025_SJVgwLimit_2020LU_wTUCP_v0.2,1,s0020 baseline with SGMA-type groundwater pumping limits applied to San Joaquin Valley region.,,SJV GW Limits,San Joaquin Valley groundwater pumping limits,Assigns groundwater pumping limits to demand units in the San Joaquin Valley. Limits are set to minimize groundwater storage decline over 100 years. Derived from s0020 — only difference is modification of groundwater pumping limits for SJV demand units.,,2,2,1,2,3,1,2,
7,s0027,s0027_CVgwLimit_2020LU_wTUCP_v0.2,1,s0020 baseline with SGMA-type groundwater pumping limits applied across entire Central Valley.,,CV GW Limits,Central Valley-wide groundwater pumping limits,Assigns groundwater pumping limits to demand units across the entire Central Valley CalSim3 domain. Limits set to minimize groundwater storage decline over 100 years. Derived from s0020 — only difference is modification of groundwater pumping limits for all Central Valley demand units.,,2,2,1,2,3,1,2,
8,s0029,s0029_DCRadjHist_2020LU_eflowsV1,0,Functional flows scenario with requirements on tributaries and Delta. 2020 LandIQ land use.,,Functional Flows,Functional flows on tributaries and Delta,Sets new minimum flow requirements on Sacramento and San Joaquin tributaries plus Delta outflow. Flow requirements developed by COEQWAL eflows team. Implements functional flow requirements at 17 locations as minimums (not strict controls). Derived from s0011 with 2020 LandIQ land use update. Deactivated — superseded by later scenarios.,,2,1,1,2,3,1,2,
9,s0026,s0026_SJVgwLimit_SGMALU_wTUCP,1,Reduced agricultural acreage in the San Joaquin Valley to improve groundwater sustainability under SGMA.,,SJV Reduced Ag,Reduced ag acreage to improve GW in the San Joaquin,Reduced irrigated agricultural acreage in San Joaquin Valley WBAs to achieve balanced groundwater conditions. Uses 2020 LandIQ land use as basis with modifications to ag land use for select WBAs to mitigate groundwater decline. Derived from s0020.,,2,2,1,2,3,1,2,
10,s0028,s0028_CVgwLimit_SGMALU_wTUCP,1,Reduced agricultural acreage across the Central Valley to improve groundwater sustainability under SGMA.,,CV Reduced Ag,Reduced ag acreage to improve GW in the Central Valley,Reduced irrigated agricultural acreage across the entire Central Valley to achieve balanced groundwater conditions. Uses 2020 LandIQ land use with modified ag acreage for WBAs and DUs therein. Derived from s0020.,,2,2,1,2,3,1,2,
