short_code,name,short_description,long_description,baseline_group,created_by,updated_by,created_at,updated_at
s0011,Current operations with historical land use,"Existing operational rules for Central Valley water allocations, as specified by DWR in 2023, with historical (2004-2013) land use and TUCPs.","This scenario serves as a reference and basis for select alternative scenarios. The code (WRESL and table files) and input hydrology were taken directly from DWR's 2023 Delivery Capability Report (DCR) final version (https://water.ca.gov/Library/Modeling-and-Analysis/Central-Valley-models-and-tools/CalSim-3/DCR) as made available on the DWR data portal (https://data.cnra.ca.gov/dataset/final-dcr-2023-calsim3-modelsels) and represents the current operating rules for major Central Valley systems up to and including the 2019 Biological Opinion and 2020 SWP Incidental Take Permit. A description of assumptions and changes to code that make up the operation rules in this version is provided in the 2023 DCR technical addendum (e.g. Table 2):
The hydroclimate inputs to this scenario are an adjusted version of the historical record (Oct 1921 – Sep 2021): earlier years are adjusted to reflect current climate conditions. More information on the adjustment process can be found in a DWR report here: https://data.cnra.ca.gov/dataset/finaldcr2023/resource/02429384-40a5-4167-9bd1-588ca5e213a4.

The only difference between this scenario and s0002 is that TUCP actions are allowed in this scenario (svar simulateTUCP set to 1 in the main wresl file). TUCP actions can be triggered February through May if the Sacramento Valley index and shasta storage both fall below certain thresholds. See Run\Other\TUCP_Actions.wresl for the details on TUCP action triggers.",,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0020,Current operations,"Existing operational rules for Central Valley water allocations, as specified by DWR in 2023. Strategy also represents recent (2020) land use and allows for TUCPs. This strategy serves as the baseline for comparison with other scenarios.","This scenario serves as a reference and basis for alternative scenarios. The code (WRESL and table files) and input hydrology were taken directly from DWR's 2023 Delivery Capability Report (DCR) final version (https://water.ca.gov/Library/Modeling-and-Analysis/Central-Valley-models-and-tools/CalSim-3/DCR) as made available on the DWR data portal (https://data.cnra.ca.gov/dataset/final-dcr-2023-calsim3-modelsels) and represents the current operating rules for major Central Valley systems up to and including the 2019 Biological Opinion and 2020 SWP Incidental Take Permit. Unless otherwise noted, the operations and assumptions in this scenario form the basis of all other alternative scenarios. A description of assumptions and changes to code that make up the operation rules in this version is provided in the 2023 DCR technical addendum (e.g. Table 2):
The hydroclimate inputs to this scenario are an adjusted version of the historical record (Oct 1921 – Sep 2021): earlier years are adjusted to reflect current climate conditions. More information on the adjustment process can be found in a DWR report here: https://data.cnra.ca.gov/dataset/finaldcr2023/resource/02429384-40a5-4167-9bd1-588ca5e213a4. The COEQWAL team modified the agricultural demands in the SV input file to reflect a different assumed land use that was derived from the 2020 LandIQ dataset.

This scenario builds on s0011 - the only difference between s0011 and this is the agricultural land use that was used to determine irrigation demands.",s0011,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0021,Current operations without TUCPs,"Existing operational rules for Central Valley water allocations, as specified by DWR in 2023, with recent (2020) land use but without TUCPs.","This scenario serves as a reference and basis for alternative scenarios. The code (WRESL and table files) and input hydrology were taken directly from DWR's 2023 Delivery Capability Report (DCR) final version (https://water.ca.gov/Library/Modeling-and-Analysis/Central-Valley-models-and-tools/CalSim-3/DCR) as made available on the DWR data portal (https://data.cnra.ca.gov/dataset/final-dcr-2023-calsim3-modelsels) and represents the current operating rules for major Central Valley systems up to and including the 2019 Biological Opinion and 2020 SWP Incidental Take Permit. A description of assumptions and changes to code that make up the operation rules in this version is provided in the 2023 DCR technical addendum (e.g. Table 2):
The hydroclimate inputs to this scenario are an adjusted version of the historical record (Oct 1921 – Sep 2021): earlier years are adjusted to reflect current climate conditions. More information on the adjustment process can be found in a DWR report here: https://data.cnra.ca.gov/dataset/finaldcr2023/resource/02429384-40a5-4167-9bd1-588ca5e213a4. The COEQWAL team modified the agricultural demands in the SV input file to reflect a different assumed land use that was derived from the 2020 LandIQ dataset.

This scenario builds on s0020 - the only difference between s0020 and this is that TUCP actions are deactivated in this scenario (svar simulateTUCP set to 0 in the main wresl file).",s0020,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0022,USBR 2024 LTO Alt2V1,Baseline - USBR 2024 LTO alternative Alt2V1 with DWR adjusted historical hydrology,,,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 20:27:53.041383+00:00
s0023,Current USBR operations without TUCPs,"Existing operational rules for Central Valley water allocations, as specified by USBR (Alt2V1) in 2024. Strategy represents the latest federal biological opinions, recent (2020) land use, but without TUCPs.","This scenario serves as a reference for comparing to alternative scenarios. The code (WRESL and table files) and input hydrology were taken directly from USBR's 2024 final Long Term Operations (LTO) scenario Alt2 version 1 (Alt2v1). This scenario reflects USBR's proposed action (PA) from their consultation on long-term operations (LTO) with fisheries agencies that concluded in December 2024.
The original USBR hydroclimate inputs for this scenario were developed separately from the DWR datasets and reflected a climate centered on 2022. We modified these inputs for this scenario for COEQWAL - we replaced the 2022 median hydrology with DWR's historical adjusted dataset. Additionally we updated the crop maps used to estimate irrigation demands (we used the 2020 LandIQ dataset for this scenario). This difference in land use is the only distinction between s0023 (this scenario) and s0022.

Actions in this scenario that differ from those represented in DWR's baseline (such as s0011, s0020, s0021) include but are not limited to modified Shasta storage and CVP allocation rules to benefit winter run chinook salmon. Note that TUCP actions are NOT active in this scenario.

Technical note: s0023 was created and run before s0022 by copying and renaming the original USBR Alt2V1 study as provided by USBR (renamed but otherwise unchanged as s0017), then referencing the SV file (v0.1.2) that includes the DWR hydrology and updated 2020 LandIQ land use. Using DWR's hydrology with USBRs study required renaming precipitation variables to include the ""_UHH"" suffix and adding in the DEL_CVP_PSC_N variable for use with USBR logic. See the SV listing for v0.1.2 for more info.",s0022,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0024,Current USBR operations,"Existing operational rules for Central Valley water allocations, as specified by USBR (Alt2V1) in 2024. Strategy represents the latest federal biological opinions, recent (2020) land use, and TUCPs.","This scenario serves as a reference and basis for alternative scenarios. The code (WRESL and table files) and input hydrology were copied from s0023 and modified to activate TUCP actions by uncommenting the conditions on the TUCP_Trigger code in TUCP_Actions.wresl (and setting the EOSeptShastEst condition to 1225 in LTO_Ops.wresl). from USBR's 2024 final Long Term Operations (LTO) scenario Alt2 version 1 (Alt2v1). The only things changed in s0023 relative to the original USBR Alt2V1 were 1) using DWR's historical adjusted hydrology and 2) updating to 2020 LandIQ land use. Therefore the operations in this scenario reflects USBR's proposed action (PA) from their consultation on long-term operations (LTO) with fisheries agencies that concluded in December 2024, but with TUCP actions allowed (which makes it comparable to USBR's Alt2V1 with TUCPs).

Actions in this scenario that differ from those represented in DWR's baseline (such as s0011, s0020, s0021) include but are not limited to modified Shasta storage and CVP allocation rules to benefit winter run chinook salmon. Note that TUCP actions ARE active in this scenario.",s0023,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0025,Groundwater pumping limits in the San Joaquin Valley,"Groundwater pumping limits applied to farms in the San Joaquin Valley region, reflecting compliance with SGMA requirements.","This scenario assigns limits to groundwater pumping to demand units in the San Joaquin valley. Groundwater pumping limits are set according to estimates of the pumping reduction needed to minimize groundwater storage decline over the full 100 year period of the baseline scenario s0011. These limits are implemented in the WRESL code on a monthly basis for each demand unit in the San Joaquin as a fraction of the applied water demand. For example, if the pumping limit for sustainable groundwater levels is estimated to be 60% of the applied water demand for demand unit X, and the applied water demand in time step Y is 10 TAF while surface water deliveries total 3 TAF, then the remaining unmet demand (10 - 3 = 7 TAF) that can be met by groundwater pumping is 60% of 10 TAF = 6 TAF. This would lead to a shortage for that demand unit in that time step of 1 TAF (10 TAF = demand, 3 TAF surface + 6 TAF groundwater = 9 TAF delivery).
This scenario is derived from s0020 - the DWR 2023 DCR baseline with 2020 updated land use. The difference between s0020 and this (s0025) scenario is the modification of groundwater pumping limits for the San Joaquin valley demand units (and associated adjustment of weighting, shortage terms, and irrigation water budget corrections).",s0020,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0026,Groundwater pumping limits and reduced crop acreage in the San Joaquin Valley,"Groundwater pumping limits applied to farms in the San Joaquin Valley, with projected reductions in irrigated agricultural land use, reflecting compliance with SGMA requirements.",This scenario implements a reduction in irrigated acreage (relative to the 2020 LandIQ reference level) in the San Joaquin Valley with the aim of reducing long-term groundwater decline. This scenario differs from s0020 only in the irrigation demands set for the San Joaquin Valley.,s0020,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0027,Groundwater pumping limits in the Central Valley,"Groundwater pumping limits applied throughout the Sacramento and San Joaquin Valley, reflecting compliance with SGMA requirements.","This scenario assigns limits to groundwater pumping to demand units in the Central Valley CalSim3 domain. Groundwater pumping limits are set according to estimates of the pumping reduction needed to minimize groundwater storage decline over the full 100 year period of the baseline scenario s0011. These limits are implemented in the WRESL code on a monthly basis for each demand unit in the Central Valley as a fraction of the applied water demand. For example, if the pumping limit for sustainable groundwater levels is estimated to be 60% of the applied water demand for demand unit X, and the applied water demand in time step Y is 10 TAF while surface water deliveries total 3 TAF, then the remaining unmet demand (10 - 3 = 7 TAF) that can be met by groundwater pumping is 60% of 10 TAF = 6 TAF. This would lead to a shortage for that demand unit in that time step of 1 TAF (10 TAF = demand, 3 TAF surface + 6 TAF groundwater = 9 TAF delivery).
This scenario is derived from s0020 - the DWR 2023 DCR baseline with 2020 updated land use. The difference between s0020 and this (s0027) scenario is the modification of groundwater pumping limits for the Central Valley demand units (and associated adjustment of weighting, shortage terms, and irrigation water budget corrections).",s0020,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0028,Groundwater pumping limits and reduced crop acreage in the Central Valley,"Groundwater pumping limits applied to farms in the Sacramento and San Joaquin Valley, with projected reductions in irrigated agricultural land use, reflecting compliance with SGMA requirements.",,s0020,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
